Time;Channel A;Channel B
(ms);(V);(V)
;;
-12.89458697;3.648183;1.499374
-12.87410697;3.648183;1.588183
-12.85362697;3.648183;1.588183
-12.83314697;3.648183;1.588183
-12.81266697;3.648183;1.588183
-12.79218697;3.648183;1.588183
-12.77170697;3.648183;1.588183
-12.75122697;3.648183;1.588183
-12.73074697;3.648183;1.588183
-12.71026697;3.648183;1.588183
-12.68978697;3.648183;1.588183
-12.66930697;3.648183;1.676687
-12.64882697;3.648183;1.676687
-12.62834697;3.648183;1.765496
-12.60786697;3.648183;1.676687
-12.58738697;3.648183;1.765496
-12.56690697;3.648183;1.676687
-12.54642697;3.648183;1.765496
-12.52594697;3.648183;1.765496
-12.50546697;3.648183;1.765496
-12.48498697;3.648183;1.765496
-12.46450697;3.648183;1.765496
-12.44402697;3.736381;1.765496
-12.42354697;3.648183;1.765496
-12.40306697;3.648183;1.854305
-12.38258697;3.648183;1.765496
-12.36210697;3.648183;1.854305
-12.34162697;3.648183;1.854305
-12.32114697;3.648183;1.854305
-12.30066697;3.648183;1.854305
-12.28018697;3.648183;1.854305
-12.25970697;3.736381;1.854305
-12.23922697;3.648183;1.854305
-12.21874697;3.648183;1.942808
-12.19826697;3.648183;1.942808
-12.17778697;3.648183;1.942808
-12.15730697;3.736381;1.942808
-12.13682697;3.648183;1.942808
-12.11634697;3.648183;1.942808
-12.09586697;3.736381;1.942808
-12.07538697;3.648183;1.942808
-12.05490697;3.648183;1.942808
-12.03442697;3.648183;1.942808
-12.01394697;3.648183;1.942808
-11.99346697;3.648183;1.942808
-11.97298697;3.648183;2.031617
-11.95250697;3.648183;2.031617
-11.93202697;3.648183;2.031617
-11.91154697;3.648183;2.031617
-11.89106697;3.648183;2.031617
-11.87058697;3.648183;2.120426
-11.85010697;3.648183;2.031617
-11.82962697;3.648183;2.031617
-11.80914697;3.736381;2.120426
-11.78866697;3.736381;2.120426
-11.76818697;3.736381;2.120426
-11.74770697;3.736381;2.031617
-11.72722697;3.648183;2.120426
-11.70674697;3.648183;2.120426
-11.68626697;3.648183;2.120426
-11.66578697;3.736381;2.120426
-11.64530697;3.736381;2.120426
-11.62482698;3.736381;2.120426
-11.60434698;3.736381;2.120426
-11.58386698;3.648183;2.20893
-11.56338698;3.736381;2.120426
-11.54290698;3.736381;2.120426
-11.52242698;3.736381;2.20893
-11.50194698;3.736381;2.20893
-11.48146698;3.736381;2.20893
-11.46098698;3.736381;2.120426
-11.44050698;3.736381;2.20893
-11.42002698;3.736381;2.20893
-11.39954698;3.736381;2.120426
-11.37906698;3.736381;2.20893
-11.35858698;3.736381;2.20893
-11.33810698;3.736381;2.20893
-11.31762698;3.736381;2.20893
-11.29714698;3.736381;2.120426
-11.27666698;3.736381;2.20893
-11.25618698;3.736381;2.20893
-11.23570698;3.736381;2.20893
-11.21522698;3.736381;2.20893
-11.19474698;3.736381;2.20893
-11.17426698;3.736381;2.20893
-11.15378698;3.736381;2.20893
-11.13330698;3.736381;2.20893
-11.11282698;3.736381;2.20893
-11.09234698;3.736381;2.20893
-11.07186698;3.736381;2.20893
-11.05138698;3.736381;2.20893
-11.03090698;3.736381;2.20893
-11.01042698;3.736381;2.20893
-10.98994698;3.736381;2.120426
-10.96946698;3.736381;2.20893
-10.94898698;3.736381;2.20893
-10.92850698;3.736381;2.20893
-10.90802698;3.736381;2.20893
-10.88754698;3.736381;2.20893
-10.86706698;3.736381;2.20893
-10.84658698;3.736381;2.20893
-10.82610698;3.82458;2.20893
-10.80562698;3.736381;2.20893
-10.78514698;3.736381;2.20893
-10.76466698;3.736381;2.20893
-10.74418698;3.736381;2.120426
-10.72370698;3.736381;2.20893
-10.70322698;3.736381;2.20893
-10.68274698;3.736381;2.120426
-10.66226698;3.736381;2.120426
-10.64178698;3.736381;2.20893
-10.62130698;3.736381;2.20893
-10.60082698;3.736381;2.120426
-10.58034698;3.736381;2.120426
-10.55986698;3.736381;2.20893
-10.53938698;3.736381;2.120426
-10.51890698;3.736381;2.120426
-10.49842698;3.736381;2.20893
-10.47794698;3.736381;2.120426
-10.45746698;3.736381;2.120426
-10.43698698;3.82458;2.120426
-10.41650698;3.736381;2.120426
-10.39602698;3.736381;2.120426
-10.37554698;3.82458;2.120426
-10.35506698;3.736381;2.120426
-10.33458698;3.82458;2.120426
-10.31410698;3.82458;2.120426
-10.29362698;3.736381;2.120426
-10.27314698;3.736381;2.120426
-10.25266698;3.736381;2.120426
-10.23218698;3.82458;2.120426
-10.21170698;3.736381;2.120426
-10.19122698;3.736381;2.120426
-10.17074698;3.736381;2.120426
-10.15026698;3.736381;2.120426
-10.12978698;3.736381;2.031617
-10.10930698;3.82458;2.031617
-10.08882698;3.736381;2.031617
-10.06834698;3.82458;2.120426
-10.04786698;3.82458;2.031617
-10.02738698;3.82458;2.031617
-10.00690698;3.736381;2.031617
-9.98642699;3.82458;2.031617
-9.96594699;3.736381;2.031617
-9.94546699;3.736381;2.031617
-9.92498699;3.82458;1.942808
-9.90450699;3.736381;2.031617
-9.88402699;3.82458;1.942808
-9.86354699;3.82458;1.942808
-9.84306699;3.736381;1.942808
-9.82258699;3.82458;1.942808
-9.80210699;3.82458;1.942808
-9.78162699;3.82458;1.942808
-9.76114699;3.82458;1.942808
-9.74066699;3.82458;1.942808
-9.72018699;3.82458;1.942808
-9.69970699;3.82458;1.942808
-9.67922699;3.82458;1.942808
-9.65874699;3.82458;1.942808
-9.63826699;3.82458;1.942808
-9.61778699;3.82458;1.942808
-9.59730699;3.82458;1.942808
-9.57682699;3.82458;1.942808
-9.55634699;3.82458;1.854305
-9.53586699;3.82458;1.854305
-9.51538699;3.82458;1.942808
-9.49490699;3.82458;1.942808
-9.47442699;3.82458;1.942808
-9.45394699;3.82458;1.854305
-9.43346699;3.82458;1.854305
-9.41298699;3.82458;1.854305
-9.39250699;3.82458;1.854305
-9.37202699;3.82458;1.854305
-9.35154699;3.82458;1.854305
-9.33106699;3.82458;1.854305
-9.31058699;3.82458;1.854305
-9.29010699;3.82458;1.854305
-9.26962699;3.82458;1.854305
-9.24914699;3.82458;1.765496
-9.22866699;3.82458;1.765496
-9.20818699;3.82458;1.765496
-9.18770699;3.82458;1.765496
-9.16722699;3.82458;1.765496
-9.14674699;3.82458;1.765496
-9.12626699;3.82458;1.765496
-9.10578699;3.82458;1.765496
-9.08530699;3.82458;1.765496
-9.06482699;3.82458;1.765496
-9.04434699;3.82458;1.765496
-9.02386699;3.82458;1.765496
-9.00338699;3.82458;1.765496
-8.98290699;3.82458;1.765496
-8.96242699;3.82458;1.765496
-8.94194699;3.82458;1.765496
-8.92146699;3.82458;1.765496
-8.90098699;3.82458;1.676687
-8.88050699;3.82458;1.765496
-8.86002699;3.912473;1.676687
-8.83954699;3.82458;1.765496
-8.81906699;3.82458;1.676687
-8.79858699;3.82458;1.765496
-8.77810699;3.82458;1.676687
-8.75762699;3.82458;1.588183
-8.73714699;3.82458;1.676687
-8.71666699;3.82458;1.676687
-8.69618699;3.82458;1.676687
-8.67570699;3.82458;1.676687
-8.65522699;3.82458;1.588183
-8.63474699;3.82458;1.588183
-8.61426699;3.82458;1.676687
-8.59378699;3.82458;1.588183
-8.57330699;3.82458;1.588183
-8.55282699;3.82458;1.588183
-8.53234699;3.82458;1.588183
-8.51186699;3.82458;1.588183
-8.49138699;3.912473;1.588183
-8.47090699;3.82458;1.588183
-8.45042699;3.82458;1.588183
-8.42994699;3.82458;1.588183
-8.40946699;3.82458;1.588183
-8.38898699;3.82458;1.588183
-8.36850699;3.912473;1.588183
-8.348027;3.82458;1.588183
-8.327547;3.82458;1.588183
-8.307067;3.82458;1.588183
-8.286587;3.82458;1.588183
-8.266107;3.82458;1.588183
-8.245627;3.912473;1.588183
-8.225147;3.82458;1.588183
-8.204667;3.82458;1.499374
-8.184187;3.912473;1.499374
-8.163707;3.912473;1.499374
-8.143227;3.82458;1.499374
-8.122747;3.912473;1.588183
-8.102267;3.82458;1.588183
-8.081787;3.82458;1.588183
-8.061307;3.912473;1.499374
-8.040827;3.912473;1.499374
-8.020347;3.912473;1.499374
-7.999867;3.82458;1.499374
-7.979387;3.82458;1.499374
-7.958907;3.912473;1.499374
-7.938427;3.82458;1.499374
-7.917947;3.82458;1.499374
-7.897467;3.912473;1.410565
-7.876987;3.912473;1.499374
-7.856507;3.82458;1.499374
-7.836027;3.82458;1.499374
-7.815547;3.912473;1.499374
-7.795067;3.912473;1.410565
-7.774587;3.82458;1.499374
-7.754107;4.000671;1.410565
-7.733627;3.912473;1.499374
-7.713147;3.912473;1.499374
-7.692667;4.000671;1.499374
-7.672187;3.82458;1.410565
-7.651707;3.912473;1.499374
-7.631227;3.912473;1.499374
-7.610747;3.912473;1.410565
-7.590267;4.000671;1.499374
-7.569787;4.000671;1.410565
-7.549307;3.912473;1.410565
-7.528827;4.000671;1.410565
-7.508347;3.912473;1.410565
-7.487867;3.912473;1.410565
-7.467387;3.912473;1.410565
-7.446907;3.82458;1.410565
-7.426427;4.000671;1.410565
-7.405947;3.912473;1.410565
-7.385467;3.912473;1.410565
-7.364987;3.912473;1.410565
-7.344507;3.912473;1.410565
-7.324027;3.912473;1.410565
-7.303547;4.000671;1.410565
-7.283067;4.000671;1.410565
-7.262587;4.000671;1.410565
-7.242107;4.000671;1.410565
-7.221627;4.000671;1.410565
-7.201147;3.912473;1.410565
-7.180667;3.912473;1.410565
-7.160187;4.000671;1.410565
-7.139707;4.000671;1.410565
-7.119227;4.000671;1.410565
-7.098747;4.000671;1.410565
-7.078267;4.000671;1.410565
-7.057787;4.000671;1.410565
-7.037307;4.000671;1.410565
-7.016827;4.000671;1.410565
-6.996347;4.000671;1.410565
-6.975867;4.000671;1.410565
-6.955387;4.000671;1.410565
-6.934907;4.000671;1.410565
-6.914427;4.000671;1.410565
-6.893947;4.000671;1.410565
-6.873467;4.000671;1.499374
-6.852987;4.000671;1.410565
-6.832507;4.000671;1.410565
-6.812027;4.000671;1.410565
-6.791547;4.000671;1.410565
-6.771067;4.000671;1.410565
-6.750587;4.000671;1.410565
-6.730107;4.000671;1.410565
-6.709627;4.000671;1.410565
-6.68914701;4.000671;1.410565
-6.66866701;4.000671;1.410565
-6.64818701;4.000671;1.410565
-6.62770701;4.000671;1.410565
-6.60722701;4.000671;1.410565
-6.58674701;4.000671;1.499374
-6.56626701;4.000671;1.410565
-6.54578701;4.000671;1.410565
-6.52530701;4.000671;1.410565
-6.50482701;4.000671;1.410565
-6.48434701;4.000671;1.410565
-6.46386701;4.000671;1.499374
-6.44338701;4.000671;1.499374
-6.42290701;4.000671;1.410565
-6.40242701;4.000671;1.499374
-6.38194701;4.000671;1.499374
-6.36146701;4.000671;1.499374
-6.34098701;4.000671;1.499374
-6.32050701;4.000671;1.499374
-6.30002701;4.08887;1.499374
-6.27954701;4.08887;1.499374
-6.25906701;4.000671;1.499374
-6.23858701;4.000671;1.499374
-6.21810701;4.08887;1.499374
-6.19762701;4.000671;1.588183
-6.17714701;4.08887;1.499374
-6.15666701;4.000671;1.499374
-6.13618701;4.000671;1.499374
-6.11570701;4.08887;1.588183
-6.09522701;4.08887;1.499374
-6.07474701;4.08887;1.588183
-6.05426701;4.08887;1.588183
-6.03378701;4.08887;1.588183
-6.01330701;4.08887;1.588183
-5.99282701;4.08887;1.588183
-5.97234701;4.08887;1.588183
-5.95186701;4.08887;1.588183
-5.93138701;4.000671;1.588183
-5.91090701;4.000671;1.588183
-5.89042701;4.08887;1.588183
-5.86994701;4.08887;1.588183
-5.84946701;4.08887;1.588183
-5.82898701;4.000671;1.588183
-5.80850701;4.000671;1.588183
-5.78802701;4.08887;1.588183
-5.76754701;4.08887;1.676687
-5.74706701;4.08887;1.676687
-5.72658701;4.000671;1.676687
-5.70610701;4.000671;1.676687
-5.68562701;4.000671;1.676687
-5.66514701;4.000671;1.676687
-5.64466701;4.000671;1.765496
-5.62418701;4.08887;1.676687
-5.60370701;4.08887;1.765496
-5.58322701;4.08887;1.765496
-5.56274701;4.08887;1.765496
-5.54226701;4.08887;1.765496
-5.52178701;4.08887;1.765496
-5.50130701;4.08887;1.765496
-5.48082701;4.08887;1.854305
-5.46034701;4.08887;1.765496
-5.43986701;4.08887;1.765496
-5.41938701;4.08887;1.854305
-5.39890701;4.08887;1.854305
-5.37842701;4.08887;1.854305
-5.35794701;4.08887;1.854305
-5.33746701;4.08887;1.854305
-5.31698701;4.08887;1.854305
-5.29650701;4.08887;1.942808
-5.27602701;4.08887;1.942808
-5.25554701;4.08887;1.854305
-5.23506701;4.08887;1.942808
-5.21458701;4.08887;1.942808
-5.19410701;4.08887;1.942808
-5.17362701;4.08887;1.942808
-5.15314701;4.08887;1.942808
-5.13266701;4.08887;1.942808
-5.11218701;4.08887;2.031617
-5.09170701;4.08887;2.031617
-5.07122701;4.08887;2.120426
-5.05074702;4.08887;2.120426
-5.03026702;4.08887;2.120426
-5.00978702;4.08887;2.120426
-4.98930702;4.08887;2.120426
-4.96882702;4.08887;2.120426
-4.94834702;4.08887;2.120426
-4.92786702;4.08887;2.120426
-4.90738702;4.08887;2.20893
-4.88690702;4.08887;2.20893
-4.86642702;4.08887;2.297739
-4.84594702;4.08887;2.297739
-4.82546702;4.08887;2.297739
-4.80498702;4.08887;2.297739
-4.78450702;4.08887;2.297739
-4.76402702;4.177068;2.386547
-4.74354702;4.08887;2.297739
-4.72306702;4.08887;2.386547
-4.70258702;4.08887;2.386547
-4.68210702;4.08887;2.475051
-4.66162702;4.08887;2.475051
-4.64114702;4.08887;2.475051
-4.62066702;4.08887;2.475051
-4.60018702;4.177068;2.475051
-4.57970702;4.08887;2.475051
-4.55922702;4.08887;2.475051
-4.53874702;4.08887;2.56386
