Frequency;Channel A;Channel B
(ms);(V);(V)

-39.89496423;2.06122000;-0.00854518
-39.87448423;2.06122000;-0.00854518
-39.85400423;2.06122000;-0.00854518
-39.83352423;2.06122000;-0.00854518
-39.81304423;2.06122000;-0.00854518
-39.79256423;2.06122000;-0.00854518
-39.77208423;2.06122000;-0.00854518
-39.75160423;2.06122000;-0.00854518
-39.73112423;2.06122000;-0.00854518
-39.71064423;2.06122000;-0.00854518
-39.69016423;2.06122000;-0.00854518
-39.66968423;2.06122000;-0.00854518
-39.64920423;2.06122000;-0.00854518
-39.62872423;2.06122000;-0.00854518
-39.60824423;2.14941900;-0.00854518
-39.58776423;2.06122000;-0.00854518
-39.56728423;2.06122000;-0.00854518
-39.54680423;2.06122000;-0.00854518
-39.52632423;2.06122000;-0.00854518
-39.50584423;2.06122000;-0.00854518
-39.48536423;2.06122000;-0.00854518
-39.46488423;2.06122000;-0.00854518
-39.44440423;2.06122000;-0.00854518
-39.42392423;2.06122000;-0.00854518
-39.40344423;2.06122000;-0.00854518
-39.38296423;2.06122000;-0.00854518
-39.36248423;2.06122000;-0.00854518
-39.34200423;2.14941900;-0.00854518
-39.32152423;2.06122000;-0.00854518
-39.30104423;2.06122000;-0.00854518
-39.28056424;2.14941900;-0.00854518
-39.26008424;2.06122000;-0.00854518
-39.23960424;2.14941900;-0.00854518
-39.21912424;2.06122000;-0.00854518
-39.19864424;2.14941900;-0.00854518
-39.17816424;2.14941900;-0.00854518
-39.15768424;2.06122000;-0.00854518
-39.13720424;2.14941900;-0.00854518
-39.11672424;2.14941900;-0.00854518
-39.09624424;2.14941900;-0.00854518
-39.07576424;2.06122000;-0.00854518
-39.05528424;2.06122000;-0.00854518
-39.03480424;2.14941900;-0.00854518
-39.01432424;2.14941900;-0.00854518
-38.99384424;2.14941900;-0.00854518
-38.97336424;2.14941900;-0.00854518
-38.95288424;2.14941900;-0.00854518
-38.93240424;2.14941900;-0.00854518
-38.91192424;2.14941900;-0.00854518
-38.89144424;2.14941900;-0.00854518
-38.87096424;2.14941900;-0.00854518
-38.85048424;2.14941900;-0.00854518
-38.83000424;2.14941900;-0.00854518
-38.80952424;2.14941900;-0.00854518
-38.78904424;2.14941900;-0.00854518
-38.76856424;2.14941900;-0.00854518
-38.74808424;2.14941900;-0.00854518
-38.72760424;2.14941900;-0.00854518
-38.70712424;2.14941900;-0.00854518
-38.68664424;2.23761700;-0.00854518
-38.66616424;2.14941900;-0.00854518
-38.64568424;2.14941900;-0.00854518
-38.62520424;2.23761700;-0.00854518
-38.60472424;2.14941900;-0.00854518
-38.58424424;2.14941900;-0.00854518
-38.56376424;2.23761700;-0.00854518
-38.54328424;2.23761700;-0.00854518
-38.52280424;2.23761700;-0.00854518
-38.50232424;2.14941900;-0.00854518
-38.48184424;2.14941900;-0.00854518
-38.46136424;2.14941900;-0.00854518
-38.44088424;2.23761700;-0.00854518
-38.42040424;2.23761700;-0.00854518
-38.39992424;2.14941900;-0.00854518
-38.37944424;2.23761700;-0.00854518
-38.35896424;2.23761700;-0.00854518
-38.33848424;2.23761700;-0.00854518
-38.31800424;2.23761700;-0.00854518
-38.29752424;2.14941900;-0.00854518
-38.27704424;2.23761700;-0.00854518
-38.25656424;2.14941900;-0.00854518
-38.23608424;2.23761700;-0.00854518
-38.21560424;2.23761700;-0.00854518
-38.19512424;2.23761700;-0.00854518
-38.17464424;2.23761700;-0.00854518
-38.15416424;2.23761700;-0.00854518
-38.13368424;2.23761700;0.08026368
-38.11320424;2.23761700;-0.00854518
-38.09272424;2.23761700;-0.00854518
-38.07224424;2.23761700;-0.00854518
-38.05176424;2.23761700;-0.00854518
-38.03128424;2.23761700;-0.00854518
-38.01080424;2.23761700;0.08026368
-37.99032424;2.23761700;-0.00854518
-37.96984424;2.23761700;0.08026368
-37.94936424;2.23761700;-0.00854518
-37.92888424;2.23761700;-0.00854518
-37.90840424;2.23761700;-0.00854518
-37.88792424;2.23761700;-0.00854518
-37.86744424;2.23761700;0.08026368
-37.84696424;2.23761700;-0.00854518
-37.82648424;2.23761700;-0.00854518
-37.80600424;2.23761700;0.08026368
-37.78552424;2.23761700;0.08026368
-37.76504424;2.23761700;0.08026368
-37.74456424;2.23761700;-0.00854518
-37.72408424;2.23761700;-0.00854518
-37.70360424;2.23761700;-0.00854518
-37.68312424;2.23761700;0.08026368
-37.66264424;2.32581600;-0.00854518
-37.64216424;2.23761700;-0.00854518
-37.62168425;2.23761700;0.08026368
-37.60120425;2.32581600;0.08026368
-37.58072425;2.32581600;0.08026368
-37.56024425;2.32581600;0.08026368
-37.53976425;2.32581600;0.08026368
-37.51928425;2.23761700;0.08026368
-37.49880425;2.32581600;0.08026368
-37.47832425;2.32581600;0.08026368
-37.45784425;2.32581600;-0.00854518
-37.43736425;2.32581600;0.08026368
-37.41688425;2.32581600;0.08026368
-37.39640425;2.32581600;0.08026368
-37.37592425;2.32581600;0.08026368
-37.35544425;2.32581600;0.08026368
-37.33496425;2.32581600;0.08026368
-37.31448425;2.32581600;0.08026368
-37.29400425;2.32581600;0.08026368
-37.27352425;2.32581600;0.08026368
