Time;Channel A;Channel B
(ms);(V);(V)

-25.06735864;3.47178600;0.43488880
-25.04687864;3.47178600;0.52339240
-25.02639864;3.47178600;0.43488880
-25.00591864;3.47178600;0.52339240
-24.98543864;3.47178600;0.52339240
-24.96495864;3.47178600;0.52339240
-24.94447864;3.47178600;0.52339240
-24.92399864;3.47178600;0.52339240
-24.90351864;3.47178600;0.52339240
-24.88303864;3.47178600;0.52339240
-24.86255864;3.47178600;0.52339240
-24.84207864;3.47178600;0.52339240
-24.82159864;3.47178600;0.52339240
-24.80111864;3.47178600;0.52339240
-24.78063864;3.47178600;0.52339240
-24.76015864;3.47178600;0.52339240
-24.73967864;3.47178600;0.52339240
-24.71919864;3.47178600;0.52339240
-24.69871864;3.55998400;0.52339240
-24.67823864;3.47178600;0.52339240
-24.65775864;3.47178600;0.52339240
-24.63727864;3.47178600;0.52339240
-24.61679864;3.47178600;0.52339240
-24.59631864;3.55998400;0.52339240
-24.57583864;3.55998400;0.52339240
-24.55535864;3.47178600;0.52339240
-24.53487864;3.47178600;0.52339240
-24.51439864;3.55998400;0.52339240
-24.49391864;3.55998400;0.61220130
-24.47343864;3.55998400;0.61220130
-24.45295864;3.55998400;0.61220130
-24.43247864;3.47178600;0.61220130
-24.41199864;3.55998400;0.61220130
-24.39151864;3.55998400;0.61220130
-24.37103864;3.47178600;0.61220130
-24.35055864;3.55998400;0.61220130
-24.33007864;3.55998400;0.70101020
-24.30959864;3.55998400;0.70101020
-24.28911864;3.55998400;0.70101020
-24.26863864;3.55998400;0.70101020
-24.24815864;3.55998400;0.70101020
-24.22767864;3.55998400;0.70101020
-24.20719864;3.55998400;0.70101020
-24.18671865;3.55998400;0.70101020
-24.16623865;3.64818300;0.78951380
-24.14575865;3.55998400;0.78951380
-24.12527865;3.55998400;0.78951380
-24.10479865;3.55998400;0.78951380
-24.08431865;3.55998400;0.78951380
-24.06383865;3.55998400;0.78951380
-24.04335865;3.55998400;0.78951380
-24.02287865;3.55998400;0.78951380
-24.00239865;3.55998400;0.87832270
-23.98191865;3.64818300;0.87832270
-23.96143865;3.55998400;0.87832270
-23.94095865;3.64818300;0.87832270
-23.92047865;3.55998400;0.87832270
-23.89999865;3.64818300;0.87832270
-23.87951865;3.64818300;0.87832270
-23.85903865;3.64818300;0.96713160
-23.83855865;3.64818300;0.96713160
-23.81807865;3.64818300;0.96713160
-23.79759865;3.64818300;1.05563500
-23.77711865;3.64818300;1.05563500
-23.75663865;3.64818300;1.05563500
-23.73615865;3.64818300;1.05563500
-23.71567865;3.64818300;1.05563500
-23.69519865;3.64818300;1.14444400
-23.67471865;3.64818300;1.05563500
-23.65423865;3.64818300;1.14444400
-23.63375865;3.64818300;1.14444400
-23.61327865;3.64818300;1.14444400
-23.59279865;3.64818300;1.14444400
-23.57231865;3.64818300;1.23325300
-23.55183865;3.64818300;1.23325300
-23.53135865;3.64818300;1.23325300
-23.51087865;3.64818300;1.23325300
-23.49039865;3.64818300;1.23325300
-23.46991865;3.64818300;1.23325300
-23.44943865;3.64818300;1.32175700
-23.42895865;3.64818300;1.23325300
-23.40847865;3.64818300;1.32175700
-23.38799865;3.64818300;1.23325300
-23.36751865;3.64818300;1.32175700
-23.34703865;3.64818300;1.32175700
-23.32655865;3.64818300;1.32175700
-23.30607865;3.64818300;1.41056500
-23.28559865;3.64818300;1.41056500
-23.26511865;3.64818300;1.41056500
-23.24463865;3.64818300;1.41056500
-23.22415865;3.64818300;1.41056500
-23.20367865;3.64818300;1.41056500
-23.18319865;3.64818300;1.41056500
-23.16271865;3.64818300;1.41056500
-23.14223865;3.64818300;1.41056500
-23.12175865;3.73638100;1.41056500
-23.10127865;3.64818300;1.41056500
-23.08079865;3.64818300;1.49937400
-23.06031865;3.73638100;1.41056500
-23.03983865;3.64818300;1.49937400
-23.01935865;3.64818300;1.49937400
-22.99887865;3.64818300;1.49937400
-22.97839865;3.64818300;1.49937400
-22.95791865;3.73638100;1.49937400
-22.93743865;3.64818300;1.49937400
-22.91695865;3.64818300;1.49937400
-22.89647865;3.64818300;1.49937400
-22.87599865;3.64818300;1.49937400
-22.85551865;3.73638100;1.49937400
-22.83503865;3.73638100;1.49937400
-22.81455865;3.73638100;1.49937400
-22.79407865;3.73638100;1.49937400
-22.77359865;3.73638100;1.49937400
-22.75311865;3.73638100;1.49937400
-22.73263865;3.73638100;1.49937400
-22.71215865;3.73638100;1.49937400
-22.69167865;3.73638100;1.49937400
-22.67119865;3.73638100;1.49937400
-22.65071865;3.73638100;1.49937400
-22.63023865;3.73638100;1.49937400
-22.60975865;3.73638100;1.49937400
-22.58927865;3.73638100;1.49937400
-22.56879865;3.73638100;1.49937400
-22.54831866;3.73638100;1.49937400
-22.52783866;3.73638100;1.49937400
-22.50735866;3.73638100;1.49937400
-22.48687866;3.73638100;1.49937400
-22.46639866;3.73638100;1.49937400
